,0
dataset,arcene
greedy4_local_diff,0.0018248175182481751
greedy4_shape,"(2, 1)"
greedy4_local_sim,0.0008312526084740225
greedy4_coverage,0.010050251256281407
greedy4_self_sim,0.005643742154909635
greedy4_conciseness,98
greedy4_sim_cluster,0
greedy4_best_score,7.844650177245136
greedy4_f_sim,"['V9902', 'V9903', 'V9904', 'V9905', 'V9906', 'V9907', 'V9908', 'V9909', 'V9910', 'V9911', 'V9912', 'V9913', 'V9914', 'V9915', 'V9916', 'V9917', 'V9918', 'V9919', 'V9920', 'V9921', 'V9922', 'V9923', 'V9924', 'V9925', 'V9926', 'V9927', 'V9928', 'V9929', 'V9930', 'V9931', 'V9932', 'V9933', 'V9934', 'V9935', 'V9936', 'V9937', 'V9938', 'V9939', 'V9940', 'V9941', 'V9942', 'V9943', 'V9944', 'V9945', 'V9946', 'V9947', 'V9948', 'V9950', 'V9951', 'V9952', 'V9953', 'V9954', 'V9955', 'V9956', 'V9957', 'V9958', 'V9959', 'V9960', 'V9961', 'V9962', 'V9963', 'V9964', 'V9965', 'V9966', 'V9967', 'V9968', 'V9969', 'V9970', 'V9971', 'V9972', 'V9973', 'V9974', 'V9975', 'V9976', 'V9977', 'V9978', 'V9979', 'V9980', 'V9981', 'V9982', 'V9983', 'V9984', 'V9985', 'V9986', 'V9987', 'V9988', 'V9989', 'V9990', 'V9991', 'V9992', 'V9993', 'V9994', 'V9995', 'V9996', 'V9997', 'V9998', 'V9999', 'V10000']"
greedy4_f_diff,['V9949']
greedy4_diff_cluster,0
