0,1,2,3,4,assoc
0.934651347,-0.21455174,1.190673538,0.447130576,0.860886979,0
1.09325352,-0.25492168,1.512991305,0.72062464,1.047429539,0
0.905360244,-0.17704942,1.253324646,0.652832249,0.752209742,0
1.141199419,-0.005168598,1.582696506,0.616377481,1.218241874,0
0.946872519,-0.032338011,0.118489948,1.167674346,0.158323036,0
0.935666612,0.222011273,0.4461223,0.878074021,-0.016685691,0
0.821621473,-0.046740694,-0.041840282,0.976640503,0.454203887,0
0.925427728,0.464336603,0.445402718,0.947359558,0.01835412,0
0.985927227,0.116827902,0.187641192,0.870697716,0.166079462,0
0.930145755,-0.123943999,-0.010327364,0.779347495,0.363175793,0
0.822831556,-0.304269207,0.402796656,1.017082871,0.204317688,0
1.069879555,0.194369029,0.451625785,0.512778935,0.035510415,0
0.98292832,-0.106437027,-0.167146607,0.598744245,0.274872313,0
1.050890359,-0.055132899,1.178460177,0.845132852,0.709317027,0
1.053930331,0.072984473,-0.117259864,0.605004913,0.263382515,0
1.069452716,-0.037081019,0.018871319,0.492664927,0.942695197,0
1.088063668,0.104393161,0.801283563,0.49022501,1.199885679,0
0.873035043,-0.042949195,1.076367727,0.528625791,0.316053166,0
0.905697661,0.004330585,-0.103023376,0.661892599,0.810222996,0
1.116822335,-0.068304787,-0.040332678,1.03515022,0.57651027,0
1.098685624,0.033068675,-0.040112013,0.440908738,-0.027713117,0
0.974258651,-0.000967489,0.631095081,0.82640616,-0.006998727,0
0.908705746,0.169361137,0.044211446,0.267884291,0.308462073,0
1.004291996,0.279469831,1.056885949,0.614705903,0.701772218,0
1.08157597,0.282476824,0.324724247,1.059924301,-0.400278919,0
0.932383942,0.475441896,-0.029657959,0.037167657,0.15987884,0
0.822288616,0.089629574,1.834868059,0.389328996,1.287949275,0
0.884507359,0.023928485,-0.297746093,0.754038232,0.608670586,0
1.12407179,0.083387574,1.521003566,0.557337167,1.137736343,0
0.940219951,0.110975123,1.140069756,0.378813869,1.47620271,0
0.841966174,0.157228128,0.589431427,1.12889534,0.156007076,0
1.095403838,0.284197115,-0.011086694,0.660736023,-0.214370048,0
0.940720104,-0.452459666,0.196877425,0.999934113,0.203304289,0
0.964994185,0.551525333,0.50302999,1.22523822,0.387422637,0
0.958646753,0.236730756,1.537269392,0.45194295,0.78897813,0
0.927030755,-0.043036993,0.723789756,1.048842142,0.768770836,0
0.884007087,0.29606027,-0.051186538,0.500969242,0.390327161,0
1.008985439,-0.008821388,0.22151149,0.881576887,0.370448465,0
0.884339976,0.073318369,1.150591688,0.59215883,0.634235169,0
0.953637145,-0.015482738,0.468856068,0.427647767,0.130103211,0
1.01181568,0.608245952,1.26610602,0.806773098,0.60365819,1
0.974618074,0.131535469,1.253792419,0.814262566,0.548592614,1
1.003382588,0.113700387,0.934838078,0.707715012,0.794857788,1
0.919634102,-0.02141319,1.075837754,0.409347941,0.685418168,1
1.122503535,0.223701827,1.354740596,0.654194522,0.959751627,1
1.097099622,0.005894724,1.1487778,0.355903795,0.712281642,1
0.967339072,0.216331809,1.036746951,0.967011407,1.169085799,1
0.907723872,-0.312116597,0.740626107,0.413805761,0.507515333,1
1.009980843,0.088696077,1.170225608,0.188047529,1.050414256,1
0.856594315,0.390059603,1.712847459,0.878502882,0.896921414,2
